time,body_name,x,y,z,vx,vy,vz
43200,Saturn,1.433e+12,4.18608e+08,0,-2.80539,9690,0
43200,Uranus,2.877e+12,2.94192e+08,0,-0.69478,6810,0
43200,Neptune,4.503e+12,2.34576e+08,0,-0.283491,5430,0
46800,Sun,331.962,0.368187,0,0.0131731,2.19158e-05,0
46800,Mercury,5.78633e+10,2.23976e+09,0,-1852.26,47836.9,0
46800,Venus,1.08187e+11,1.63887e+09,0,-530.64,35016.3,0
46800,Earth,1.49593e+11,1.39368e+09,0,-277.592,29778.8,0
46800,Mars,2.27897e+11,1.12928e+09,0,-119.601,24129.7,0
46800,Jupiter,7.785e+11,6.11676e+08,0,-10.2469,13070,0
46800,Saturn,1.433e+12,4.53492e+08,0,-3.03918,9690,0
46800,Uranus,2.877e+12,3.18708e+08,0,-0.752678,6810,0
46800,Neptune,4.503e+12,2.54124e+08,0,-0.307116,5430,0
50400,Sun,383.033,0.460233,0,0.0141863,2.55683e-05,0
50400,Mercury,5.78561e+10,2.41195e+09,0,-1994.67,47831.4,0
50400,Venus,1.08185e+11,1.76493e+09,0,-571.456,35015.7,0
50400,Earth,1.49592e+11,1.50089e+09,0,-298.945,29778.6,0
50400,Mars,2.27897e+11,1.21615e+09,0,-128.801,24129.7,0
50400,Jupiter,7.785e+11,6.58728e+08,0,-11.0352,13070,0
50400,Saturn,1.433e+12,4.88376e+08,0,-3.27296,9690,0
50400,Uranus,2.877e+12,3.43224e+08,0,-0.810577,6810,0
50400,Neptune,4.503e+12,2.73672e+08,0,-0.33074,5430,0
54000,Sun,437.752,0.56644,0,0.0151996,2.95018e-05,0
54000,Mercury,5.78484e+10,2.58413e+09,0,-2137.07,47825.5,0
54000,Venus,1.08182e+11,1.89098e+09,0,-612.271,35015,0
54000,Earth,1.49591e+11,1.60809e+09,0,-320.297,29778.4,0
54000,Mars,2.27896e+11,1.30301e+09,0,-138.001,24129.6,0
54000,Jupiter,7.785e+11,7.0578e+08,0,-11.8234,13070,0
54000,Saturn,1.433e+12,5.2326e+08,0,-3.50674,9690,0
54000,Uranus,2.877e+12,3.6774e+08,0,-0.868475,6810,0
54000,Neptune,4.503e+12,2.9322e+08,0,-0.354364,5430,0
57600,Sun,496.118,0.687818,0,0.0162129,3.37162e-05,0
57600,Mercury,5.78402e+10,2.75627e+09,0,-2279.45,47819.1,0
57600,Venus,1.0818e+11,2.01704e+09,0,-653.085,35014.3,0
57600,Earth,1.4959e+11,1.71529e+09,0,-341.65,29778.2,0
57600,Mars,2.27895e+11,1.38988e+09,0,-147.201,24129.6,0
